GL_Account_ID,GL_Account_No,Account_Name,Account_Type,Account_Category,Cost_Center_ID,Parent_Account,Currency,Normal_Balance,Financial_Statement,Is_Posting_Allowed,Tax_Code,Status,Created_Date,Notes
GL-000052,400052,Sales Revenue 0052,Revenue,Operating Revenue,CC-00052,GL-000006,USD,Credit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000053,500053,Cost of Goods Sold 0053,Expense,COGS,CC-00053,GL-000007,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000054,510054,Production Cost 0054,Expense,Manufacturing,CC-00054,GL-000008,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000055,520055,Maintenance Expense 0055,Expense,Maintenance,CC-00055,GL-000009,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000056,530056,Utilities Expense 0056,Expense,Utilities,CC-00056,GL-000010,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000057,540057,Quality Expense 0057,Expense,Quality,CC-00057,GL-000011,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000058,550058,Warehouse Expense 0058,Expense,Warehouse,CC-00058,GL-000012,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000059,560059,Sales Expense 0059,Expense,Sales,CC-00059,GL-000013,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000060,570060,Administrative Expense 0060,Expense,Administration,CC-00060,GL-000014,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000061,100061,Cash 0061,Asset,Current Asset,CC-00061,GL-000015,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000062,110062,Accounts Receivable 0062,Asset,Current Asset,CC-00062,GL-000001,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000063,120063,Inventory 0063,Asset,Current Asset,CC-00063,GL-000002,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000064,130064,Fixed Assets 0064,Asset,Non Current Asset,CC-00064,GL-000003,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000065,200065,Accounts Payable 0065,Liability,Current Liability,CC-00065,GL-000004,USD,Credit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000066,300066,Equity 0066,Equity,Equity,CC-00066,GL-000005,USD,Credit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000067,400067,Sales Revenue 0067,Revenue,Operating Revenue,CC-00067,GL-000006,USD,Credit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000068,500068,Cost of Goods Sold 0068,Expense,COGS,CC-00068,GL-000007,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000069,510069,Production Cost 0069,Expense,Manufacturing,CC-00069,GL-000008,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000070,520070,Maintenance Expense 0070,Expense,Maintenance,CC-00070,GL-000009,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000071,530071,Utilities Expense 0071,Expense,Utilities,CC-00071,GL-000010,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000072,540072,Quality Expense 0072,Expense,Quality,CC-00072,GL-000011,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000073,550073,Warehouse Expense 0073,Expense,Warehouse,CC-00073,GL-000012,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000074,560074,Sales Expense 0074,Expense,Sales,CC-00074,GL-000013,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000075,570075,Administrative Expense 0075,Expense,Administration,CC-00075,GL-000014,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000076,100076,Cash 0076,Asset,Current Asset,CC-00076,GL-000015,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000077,110077,Accounts Receivable 0077,Asset,Current Asset,CC-00077,GL-000001,USD,Debit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000078,120078,Inventory 0078,Asset,Current Asset,CC-00078,GL-000002,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000079,130079,Fixed Assets 0079,Asset,Non Current Asset,CC-00079,GL-000003,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000080,200080,Accounts Payable 0080,Liability,Current Liability,CC-00080,GL-000004,USD,Credit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000081,300081,Equity 0081,Equity,Equity,CC-00081,GL-000005,USD,Credit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000082,400082,Sales Revenue 0082,Revenue,Operating Revenue,CC-00082,GL-000006,USD,Credit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000083,500083,Cost of Goods Sold 0083,Expense,COGS,CC-00083,GL-000007,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000084,510084,Production Cost 0084,Expense,Manufacturing,CC-00084,GL-000008,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000085,520085,Maintenance Expense 0085,Expense,Maintenance,CC-00085,GL-000009,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000086,530086,Utilities Expense 0086,Expense,Utilities,CC-00086,GL-000010,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000087,540087,Quality Expense 0087,Expense,Quality,CC-00087,GL-000011,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000088,550088,Warehouse Expense 0088,Expense,Warehouse,CC-00088,GL-000012,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000089,560089,Sales Expense 0089,Expense,Sales,CC-00089,GL-000013,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000090,570090,Administrative Expense 0090,Expense,Administration,CC-00090,GL-000014,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000091,100091,Cash 0091,Asset,Current Asset,CC-00091,GL-000015,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000092,110092,Accounts Receivable 0092,Asset,Current Asset,CC-00092,GL-000001,USD,Debit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000093,120093,Inventory 0093,Asset,Current Asset,CC-00093,GL-000002,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000094,130094,Fixed Assets 0094,Asset,Non Current Asset,CC-00094,GL-000003,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000095,200095,Accounts Payable 0095,Liability,Current Liability,CC-00095,GL-000004,USD,Credit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000096,300096,Equity 0096,Equity,Equity,CC-00096,GL-000005,USD,Credit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000097,400097,Sales Revenue 0097,Revenue,Operating Revenue,CC-00097,GL-000006,USD,Credit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000098,500098,Cost of Goods Sold 0098,Expense,COGS,CC-00098,GL-000007,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000099,510099,Production Cost 0099,Expense,Manufacturing,CC-00099,GL-000008,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000100,520100,Maintenance Expense 0100,Expense,Maintenance,CC-00100,GL-000009,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000101,530101,Utilities Expense 0101,Expense,Utilities,CC-00101,GL-000010,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000102,540102,Quality Expense 0102,Expense,Quality,CC-00102,GL-000011,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000103,550103,Warehouse Expense 0103,Expense,Warehouse,CC-00103,GL-000012,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000104,560104,Sales Expense 0104,Expense,Sales,CC-00104,GL-000013,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000105,570105,Administrative Expense 0105,Expense,Administration,CC-00105,GL-000014,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000106,100106,Cash 0106,Asset,Current Asset,CC-00106,GL-000015,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000107,110107,Accounts Receivable 0107,Asset,Current Asset,CC-00107,GL-000001,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000108,120108,Inventory 0108,Asset,Current Asset,CC-00108,GL-000002,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000109,130109,Fixed Assets 0109,Asset,Non Current Asset,CC-00109,GL-000003,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000110,200110,Accounts Payable 0110,Liability,Current Liability,CC-00110,GL-000004,USD,Credit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000111,300111,Equity 0111,Equity,Equity,CC-00111,GL-000005,USD,Credit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000112,400112,Sales Revenue 0112,Revenue,Operating Revenue,CC-00112,GL-000006,USD,Credit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000113,500113,Cost of Goods Sold 0113,Expense,COGS,CC-00113,GL-000007,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000114,510114,Production Cost 0114,Expense,Manufacturing,CC-00114,GL-000008,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000115,520115,Maintenance Expense 0115,Expense,Maintenance,CC-00115,GL-000009,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000116,530116,Utilities Expense 0116,Expense,Utilities,CC-00116,GL-000010,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000117,540117,Quality Expense 0117,Expense,Quality,CC-00117,GL-000011,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000118,550118,Warehouse Expense 0118,Expense,Warehouse,CC-00118,GL-000012,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000119,560119,Sales Expense 0119,Expense,Sales,CC-00119,GL-000013,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000120,570120,Administrative Expense 0120,Expense,Administration,CC-00120,GL-000014,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000121,100121,Cash 0121,Asset,Current Asset,CC-00121,GL-000015,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000122,110122,Accounts Receivable 0122,Asset,Current Asset,CC-00122,GL-000001,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000123,120123,Inventory 0123,Asset,Current Asset,CC-00123,GL-000002,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000124,130124,Fixed Assets 0124,Asset,Non Current Asset,CC-00124,GL-000003,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000125,200125,Accounts Payable 0125,Liability,Current Liability,CC-00125,GL-000004,USD,Credit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000126,300126,Equity 0126,Equity,Equity,CC-00126,GL-000005,USD,Credit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000127,400127,Sales Revenue 0127,Revenue,Operating Revenue,CC-00127,GL-000006,USD,Credit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000128,500128,Cost of Goods Sold 0128,Expense,COGS,CC-00128,GL-000007,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000129,510129,Production Cost 0129,Expense,Manufacturing,CC-00129,GL-000008,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000130,520130,Maintenance Expense 0130,Expense,Maintenance,CC-00130,GL-000009,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000131,530131,Utilities Expense 0131,Expense,Utilities,CC-00131,GL-000010,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000132,540132,Quality Expense 0132,Expense,Quality,CC-00132,GL-000011,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000133,550133,Warehouse Expense 0133,Expense,Warehouse,CC-00133,GL-000012,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000134,560134,Sales Expense 0134,Expense,Sales,CC-00134,GL-000013,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000135,570135,Administrative Expense 0135,Expense,Administration,CC-00135,GL-000014,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000136,100136,Cash 0136,Asset,Current Asset,CC-00136,GL-000015,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000137,110137,Accounts Receivable 0137,Asset,Current Asset,CC-00137,GL-000001,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000138,120138,Inventory 0138,Asset,Current Asset,CC-00138,GL-000002,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000139,130139,Fixed Assets 0139,Asset,Non Current Asset,CC-00139,GL-000003,USD,Debit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000140,200140,Accounts Payable 0140,Liability,Current Liability,CC-00140,GL-000004,USD,Credit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000141,300141,Equity 0141,Equity,Equity,CC-00141,GL-000005,USD,Credit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000142,400142,Sales Revenue 0142,Revenue,Operating Revenue,CC-00142,GL-000006,USD,Credit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000143,500143,Cost of Goods Sold 0143,Expense,COGS,CC-00143,GL-000007,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000144,510144,Production Cost 0144,Expense,Manufacturing,CC-00144,GL-000008,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000145,520145,Maintenance Expense 0145,Expense,Maintenance,CC-00145,GL-000009,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000146,530146,Utilities Expense 0146,Expense,Utilities,CC-00146,GL-000010,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000147,540147,Quality Expense 0147,Expense,Quality,CC-00147,GL-000011,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000148,550148,Warehouse Expense 0148,Expense,Warehouse,CC-00148,GL-000012,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000149,560149,Sales Expense 0149,Expense,Sales,CC-00149,GL-000013,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000150,570150,Administrative Expense 0150,Expense,Administration,CC-00150,GL-000014,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000151,100151,Cash 0151,Asset,Current Asset,CC-00151,GL-000015,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000152,110152,Accounts Receivable 0152,Asset,Current Asset,CC-00152,GL-000001,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000153,120153,Inventory 0153,Asset,Current Asset,CC-00153,GL-000002,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000154,130154,Fixed Assets 0154,Asset,Non Current Asset,CC-00154,GL-000003,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000155,200155,Accounts Payable 0155,Liability,Current Liability,CC-00155,GL-000004,USD,Credit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000156,300156,Equity 0156,Equity,Equity,CC-00156,GL-000005,USD,Credit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000157,400157,Sales Revenue 0157,Revenue,Operating Revenue,CC-00157,GL-000006,USD,Credit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000158,500158,Cost of Goods Sold 0158,Expense,COGS,CC-00158,GL-000007,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000159,510159,Production Cost 0159,Expense,Manufacturing,CC-00159,GL-000008,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000160,520160,Maintenance Expense 0160,Expense,Maintenance,CC-00160,GL-000009,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000161,530161,Utilities Expense 0161,Expense,Utilities,CC-00161,GL-000010,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000162,540162,Quality Expense 0162,Expense,Quality,CC-00162,GL-000011,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000163,550163,Warehouse Expense 0163,Expense,Warehouse,CC-00163,GL-000012,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000164,560164,Sales Expense 0164,Expense,Sales,CC-00164,GL-000013,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000165,570165,Administrative Expense 0165,Expense,Administration,CC-00165,GL-000014,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000166,100166,Cash 0166,Asset,Current Asset,CC-00166,GL-000015,USD,Debit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000167,110167,Accounts Receivable 0167,Asset,Current Asset,CC-00167,GL-000001,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000168,120168,Inventory 0168,Asset,Current Asset,CC-00168,GL-000002,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000169,130169,Fixed Assets 0169,Asset,Non Current Asset,CC-00169,GL-000003,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000170,200170,Accounts Payable 0170,Liability,Current Liability,CC-00170,GL-000004,USD,Credit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000171,300171,Equity 0171,Equity,Equity,CC-00171,GL-000005,USD,Credit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000172,400172,Sales Revenue 0172,Revenue,Operating Revenue,CC-00172,GL-000006,USD,Credit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000173,500173,Cost of Goods Sold 0173,Expense,COGS,CC-00173,GL-000007,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000174,510174,Production Cost 0174,Expense,Manufacturing,CC-00174,GL-000008,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000175,520175,Maintenance Expense 0175,Expense,Maintenance,CC-00175,GL-000009,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000176,530176,Utilities Expense 0176,Expense,Utilities,CC-00176,GL-000010,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000177,540177,Quality Expense 0177,Expense,Quality,CC-00177,GL-000011,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000178,550178,Warehouse Expense 0178,Expense,Warehouse,CC-00178,GL-000012,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000179,560179,Sales Expense 0179,Expense,Sales,CC-00179,GL-000013,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000180,570180,Administrative Expense 0180,Expense,Administration,CC-00180,GL-000014,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000181,100181,Cash 0181,Asset,Current Asset,CC-00181,GL-000015,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000182,110182,Accounts Receivable 0182,Asset,Current Asset,CC-00182,GL-000001,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000183,120183,Inventory 0183,Asset,Current Asset,CC-00183,GL-000002,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000184,130184,Fixed Assets 0184,Asset,Non Current Asset,CC-00184,GL-000003,USD,Debit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000185,200185,Accounts Payable 0185,Liability,Current Liability,CC-00185,GL-000004,USD,Credit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000186,300186,Equity 0186,Equity,Equity,CC-00186,GL-000005,USD,Credit,Balance Sheet,Yes,TX5,Active,2020-01-01,
