Cost_Center_ID,Cost_Center_Code,Cost_Center_Name,Department,Parent_Cost_Center,Manager_ID,Plant,Area,Budget_Type,Annual_Budget_USD,Currency,Start_Date,End_Date,Status,Notes
CC-00055,CC-SCM-055,Supply Chain Cost Center 055,Supply Chain,CC-00005,EMP-000055,Plant-01,Tempering,CAPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00056,CC-UTL-056,Utilities Cost Center 056,Utilities,CC-00006,EMP-000056,Plant-01,Molding,CAPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00057,CC-SLS-057,Sales Cost Center 057,Sales,CC-00007,EMP-000057,Plant-01,Cooling,OPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00058,CC-HR-058,Human Resources Cost Center 058,Human Resources,CC-00008,EMP-000058,Plant-01,Packaging,OPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00059,CC-FIN-059,Finance Cost Center 059,Finance,CC-00009,EMP-000059,Plant-01,Utilities,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00060,CC-ENG-060,Engineering Cost Center 060,Engineering,CC-00010,EMP-000060,Plant-01,Administration,CAPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00061,CC-MNT-061,Maintenance Cost Center 061,Maintenance,CC-00001,EMP-000061,Plant-01,Roasting,Mixed,50000,USD,2020-01-01,2025-12-31,Active,
CC-00062,CC-PRD-062,Production Cost Center 062,Production,CC-00002,EMP-000062,Plant-01,Mixing,Mixed,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00063,CC-QLT-063,Quality Cost Center 063,Quality,CC-00003,EMP-000063,Plant-01,Refining,OPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00064,CC-WHS-064,Warehouse Cost Center 064,Warehouse,CC-00004,EMP-000064,Plant-01,Conching,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00065,CC-SCM-065,Supply Chain Cost Center 065,Supply Chain,CC-00005,EMP-000065,Plant-01,Tempering,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00066,CC-UTL-066,Utilities Cost Center 066,Utilities,CC-00006,EMP-000066,Plant-01,Molding,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00067,CC-SLS-067,Sales Cost Center 067,Sales,CC-00007,EMP-000067,Plant-01,Cooling,CAPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00068,CC-HR-068,Human Resources Cost Center 068,Human Resources,CC-00008,EMP-000068,Plant-01,Packaging,Mixed,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00069,CC-FIN-069,Finance Cost Center 069,Finance,CC-00009,EMP-000069,Plant-01,Utilities,CAPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00070,CC-ENG-070,Engineering Cost Center 070,Engineering,CC-00010,EMP-000070,Plant-01,Administration,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00071,CC-MNT-071,Maintenance Cost Center 071,Maintenance,CC-00001,EMP-000071,Plant-01,Roasting,Mixed,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00072,CC-PRD-072,Production Cost Center 072,Production,CC-00002,EMP-000072,Plant-01,Mixing,OPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00073,CC-QLT-073,Quality Cost Center 073,Quality,CC-00003,EMP-000073,Plant-01,Refining,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00074,CC-WHS-074,Warehouse Cost Center 074,Warehouse,CC-00004,EMP-000074,Plant-01,Conching,CAPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00075,CC-SCM-075,Supply Chain Cost Center 075,Supply Chain,CC-00005,EMP-000075,Plant-01,Tempering,Mixed,500000,USD,2020-01-01,2025-12-31,Active,
CC-00076,CC-UTL-076,Utilities Cost Center 076,Utilities,CC-00006,EMP-000076,Plant-01,Molding,CAPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00077,CC-SLS-077,Sales Cost Center 077,Sales,CC-00007,EMP-000077,Plant-01,Cooling,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00078,CC-HR-078,Human Resources Cost Center 078,Human Resources,CC-00008,EMP-000078,Plant-01,Packaging,CAPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00079,CC-FIN-079,Finance Cost Center 079,Finance,CC-00009,EMP-000079,Plant-01,Utilities,Mixed,50000,USD,2020-01-01,2025-12-31,Active,
CC-00080,CC-ENG-080,Engineering Cost Center 080,Engineering,CC-00010,EMP-000080,Plant-01,Administration,Mixed,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00081,CC-MNT-081,Maintenance Cost Center 081,Maintenance,CC-00001,EMP-000081,Plant-01,Roasting,OPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00082,CC-PRD-082,Production Cost Center 082,Production,CC-00002,EMP-000082,Plant-01,Mixing,CAPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00083,CC-QLT-083,Quality Cost Center 083,Quality,CC-00003,EMP-000083,Plant-01,Refining,Mixed,500000,USD,2020-01-01,2025-12-31,Active,
CC-00084,CC-WHS-084,Warehouse Cost Center 084,Warehouse,CC-00004,EMP-000084,Plant-01,Conching,CAPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00085,CC-SCM-085,Supply Chain Cost Center 085,Supply Chain,CC-00005,EMP-000085,Plant-01,Tempering,CAPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00086,CC-UTL-086,Utilities Cost Center 086,Utilities,CC-00006,EMP-000086,Plant-01,Molding,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00087,CC-SLS-087,Sales Cost Center 087,Sales,CC-00007,EMP-000087,Plant-01,Cooling,OPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00088,CC-HR-088,Human Resources Cost Center 088,Human Resources,CC-00008,EMP-000088,Plant-01,Packaging,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00089,CC-FIN-089,Finance Cost Center 089,Finance,CC-00009,EMP-000089,Plant-01,Utilities,Mixed,250000,USD,2020-01-01,2025-12-31,Active,
CC-00090,CC-ENG-090,Engineering Cost Center 090,Engineering,CC-00010,EMP-000090,Plant-01,Administration,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00091,CC-MNT-091,Maintenance Cost Center 091,Maintenance,CC-00001,EMP-000091,Plant-01,Roasting,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00092,CC-PRD-092,Production Cost Center 092,Production,CC-00002,EMP-000092,Plant-01,Mixing,OPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00093,CC-QLT-093,Quality Cost Center 093,Quality,CC-00003,EMP-000093,Plant-01,Refining,CAPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00094,CC-WHS-094,Warehouse Cost Center 094,Warehouse,CC-00004,EMP-000094,Plant-01,Conching,CAPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00095,CC-SCM-095,Supply Chain Cost Center 095,Supply Chain,CC-00005,EMP-000095,Plant-01,Tempering,CAPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00096,CC-UTL-096,Utilities Cost Center 096,Utilities,CC-00006,EMP-000096,Plant-01,Molding,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00097,CC-SLS-097,Sales Cost Center 097,Sales,CC-00007,EMP-000097,Plant-01,Cooling,OPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00098,CC-HR-098,Human Resources Cost Center 098,Human Resources,CC-00008,EMP-000098,Plant-01,Packaging,OPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00099,CC-FIN-099,Finance Cost Center 099,Finance,CC-00009,EMP-000099,Plant-01,Utilities,OPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00100,CC-ENG-100,Engineering Cost Center 100,Engineering,CC-00010,EMP-000100,Plant-01,Administration,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00101,CC-MNT-101,Maintenance Cost Center 101,Maintenance,CC-00001,EMP-000101,Plant-01,Roasting,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00102,CC-PRD-102,Production Cost Center 102,Production,CC-00002,EMP-000102,Plant-01,Mixing,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00103,CC-QLT-103,Quality Cost Center 103,Quality,CC-00003,EMP-000103,Plant-01,Refining,CAPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00104,CC-WHS-104,Warehouse Cost Center 104,Warehouse,CC-00004,EMP-000104,Plant-01,Conching,OPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00105,CC-SCM-105,Supply Chain Cost Center 105,Supply Chain,CC-00005,EMP-000105,Plant-01,Tempering,Mixed,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00106,CC-UTL-106,Utilities Cost Center 106,Utilities,CC-00006,EMP-000106,Plant-01,Molding,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00107,CC-SLS-107,Sales Cost Center 107,Sales,CC-00007,EMP-000107,Plant-01,Cooling,Mixed,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00108,CC-HR-108,Human Resources Cost Center 108,Human Resources,CC-00008,EMP-000108,Plant-01,Packaging,OPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00109,CC-FIN-109,Finance Cost Center 109,Finance,CC-00009,EMP-000109,Plant-01,Utilities,Mixed,50000,USD,2020-01-01,2025-12-31,Active,
CC-00110,CC-ENG-110,Engineering Cost Center 110,Engineering,CC-00010,EMP-000110,Plant-01,Administration,CAPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00111,CC-MNT-111,Maintenance Cost Center 111,Maintenance,CC-00001,EMP-000111,Plant-01,Roasting,Mixed,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00112,CC-PRD-112,Production Cost Center 112,Production,CC-00002,EMP-000112,Plant-01,Mixing,Mixed,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00113,CC-QLT-113,Quality Cost Center 113,Quality,CC-00003,EMP-000113,Plant-01,Refining,OPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00114,CC-WHS-114,Warehouse Cost Center 114,Warehouse,CC-00004,EMP-000114,Plant-01,Conching,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00115,CC-SCM-115,Supply Chain Cost Center 115,Supply Chain,CC-00005,EMP-000115,Plant-01,Tempering,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00116,CC-UTL-116,Utilities Cost Center 116,Utilities,CC-00006,EMP-000116,Plant-01,Molding,Mixed,250000,USD,2020-01-01,2025-12-31,Active,
CC-00117,CC-SLS-117,Sales Cost Center 117,Sales,CC-00007,EMP-000117,Plant-01,Cooling,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00118,CC-HR-118,Human Resources Cost Center 118,Human Resources,CC-00008,EMP-000118,Plant-01,Packaging,CAPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00119,CC-FIN-119,Finance Cost Center 119,Finance,CC-00009,EMP-000119,Plant-01,Utilities,Mixed,250000,USD,2020-01-01,2025-12-31,Active,
CC-00120,CC-ENG-120,Engineering Cost Center 120,Engineering,CC-00010,EMP-000120,Plant-01,Administration,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00121,CC-MNT-121,Maintenance Cost Center 121,Maintenance,CC-00001,EMP-000121,Plant-01,Roasting,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00122,CC-PRD-122,Production Cost Center 122,Production,CC-00002,EMP-000122,Plant-01,Mixing,OPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00123,CC-QLT-123,Quality Cost Center 123,Quality,CC-00003,EMP-000123,Plant-01,Refining,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00124,CC-WHS-124,Warehouse Cost Center 124,Warehouse,CC-00004,EMP-000124,Plant-01,Conching,CAPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00125,CC-SCM-125,Supply Chain Cost Center 125,Supply Chain,CC-00005,EMP-000125,Plant-01,Tempering,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00126,CC-UTL-126,Utilities Cost Center 126,Utilities,CC-00006,EMP-000126,Plant-01,Molding,Mixed,500000,USD,2020-01-01,2025-12-31,Active,
CC-00127,CC-SLS-127,Sales Cost Center 127,Sales,CC-00007,EMP-000127,Plant-01,Cooling,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00128,CC-HR-128,Human Resources Cost Center 128,Human Resources,CC-00008,EMP-000128,Plant-01,Packaging,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00129,CC-FIN-129,Finance Cost Center 129,Finance,CC-00009,EMP-000129,Plant-01,Utilities,OPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00130,CC-ENG-130,Engineering Cost Center 130,Engineering,CC-00010,EMP-000130,Plant-01,Administration,OPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00131,CC-MNT-131,Maintenance Cost Center 131,Maintenance,CC-00001,EMP-000131,Plant-01,Roasting,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00132,CC-PRD-132,Production Cost Center 132,Production,CC-00002,EMP-000132,Plant-01,Mixing,CAPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00133,CC-QLT-133,Quality Cost Center 133,Quality,CC-00003,EMP-000133,Plant-01,Refining,OPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00134,CC-WHS-134,Warehouse Cost Center 134,Warehouse,CC-00004,EMP-000134,Plant-01,Conching,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00135,CC-SCM-135,Supply Chain Cost Center 135,Supply Chain,CC-00005,EMP-000135,Plant-01,Tempering,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00136,CC-UTL-136,Utilities Cost Center 136,Utilities,CC-00006,EMP-000136,Plant-01,Molding,Mixed,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00137,CC-SLS-137,Sales Cost Center 137,Sales,CC-00007,EMP-000137,Plant-01,Cooling,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00138,CC-HR-138,Human Resources Cost Center 138,Human Resources,CC-00008,EMP-000138,Plant-01,Packaging,OPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00139,CC-FIN-139,Finance Cost Center 139,Finance,CC-00009,EMP-000139,Plant-01,Utilities,CAPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00140,CC-ENG-140,Engineering Cost Center 140,Engineering,CC-00010,EMP-000140,Plant-01,Administration,CAPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00141,CC-MNT-141,Maintenance Cost Center 141,Maintenance,CC-00001,EMP-000141,Plant-01,Roasting,CAPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00142,CC-PRD-142,Production Cost Center 142,Production,CC-00002,EMP-000142,Plant-01,Mixing,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00143,CC-QLT-143,Quality Cost Center 143,Quality,CC-00003,EMP-000143,Plant-01,Refining,CAPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00144,CC-WHS-144,Warehouse Cost Center 144,Warehouse,CC-00004,EMP-000144,Plant-01,Conching,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00145,CC-SCM-145,Supply Chain Cost Center 145,Supply Chain,CC-00005,EMP-000145,Plant-01,Tempering,CAPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00146,CC-UTL-146,Utilities Cost Center 146,Utilities,CC-00006,EMP-000146,Plant-01,Molding,Mixed,50000,USD,2020-01-01,2025-12-31,Active,
CC-00147,CC-SLS-147,Sales Cost Center 147,Sales,CC-00007,EMP-000147,Plant-01,Cooling,CAPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00148,CC-HR-148,Human Resources Cost Center 148,Human Resources,CC-00008,EMP-000148,Plant-01,Packaging,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00149,CC-FIN-149,Finance Cost Center 149,Finance,CC-00009,EMP-000149,Plant-01,Utilities,Mixed,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00150,CC-ENG-150,Engineering Cost Center 150,Engineering,CC-00010,EMP-000150,Plant-01,Administration,CAPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00151,CC-MNT-151,Maintenance Cost Center 151,Maintenance,CC-00001,EMP-000151,Plant-01,Roasting,CAPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00152,CC-PRD-152,Production Cost Center 152,Production,CC-00002,EMP-000152,Plant-01,Mixing,Mixed,500000,USD,2020-01-01,2025-12-31,Active,
CC-00153,CC-QLT-153,Quality Cost Center 153,Quality,CC-00003,EMP-000153,Plant-01,Refining,CAPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00154,CC-WHS-154,Warehouse Cost Center 154,Warehouse,CC-00004,EMP-000154,Plant-01,Conching,OPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00155,CC-SCM-155,Supply Chain Cost Center 155,Supply Chain,CC-00005,EMP-000155,Plant-01,Tempering,Mixed,500000,USD,2020-01-01,2025-12-31,Active,
CC-00156,CC-UTL-156,Utilities Cost Center 156,Utilities,CC-00006,EMP-000156,Plant-01,Molding,Mixed,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00157,CC-SLS-157,Sales Cost Center 157,Sales,CC-00007,EMP-000157,Plant-01,Cooling,CAPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00158,CC-HR-158,Human Resources Cost Center 158,Human Resources,CC-00008,EMP-000158,Plant-01,Packaging,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00159,CC-FIN-159,Finance Cost Center 159,Finance,CC-00009,EMP-000159,Plant-01,Utilities,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00160,CC-ENG-160,Engineering Cost Center 160,Engineering,CC-00010,EMP-000160,Plant-01,Administration,Mixed,50000,USD,2020-01-01,2025-12-31,Active,
CC-00161,CC-MNT-161,Maintenance Cost Center 161,Maintenance,CC-00001,EMP-000161,Plant-01,Roasting,Mixed,50000,USD,2020-01-01,2025-12-31,Active,
CC-00162,CC-PRD-162,Production Cost Center 162,Production,CC-00002,EMP-000162,Plant-01,Mixing,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
